TEMPERATURE,DISSOLVED OXYGEN,PH,TURBIDITY,NITRATES,FECAL COLIFORM 
24.6,5.8,7.4,1.4,0.8,285
25.7,6.6,7.5,1.4,0.7,183
24.8,6.7,7.5,1.4,1,161
27.3,6.7,6.9,0.9,0.2,82
27.5,6.5,6.7,1.2,0.2,136
25.2,6.3,6.9,1.6,0,787
29.9,7,7.4,0.7,0.1,301
29.8,6.6,7.7,1.6,0.2,362
27.8,6.9,6.9,1.1,0.4,249
26.7,7,7.5,0.8,0.4,2573
25.8,6.7,7.4,0.8,0.6,1411
26.4,7.2,7.4,0.7,0.5,840
29.8,7.5,7.2,1.1,0.1,76
28.6,3,6.6,1.7,1.2,247
26.9,5.9,7.4,0.7,0.5,1888
26,6.7,7.5,1.6,0.9,199
23.6,6.1,7.4,2,1.6,243
30.3,6.7,6.9,1.7,0.2,155
30.7,6.9,6.8,1.6,0.2,82
28.7,2.1,6.8,1.6,0.8,431
28.2,2.5,6.9,1.9,0.3,353
24.8,7.2,7.6,1.4,1,188
26.3,3.7,7.7,1.2,0.9,40000
29.2,6.1,7.6,1.2,0.7,384
26.6,6.7,7.6,0.5,2.5,44
30.4,7.6,7.1,1.2,0.1,163
25.5,1.9,7.7,26.9,2.8,10875
25.1,7.4,7,0.1,0,165
28.9,6.4,7.2,1.3,0.4,121
28.8,5.4,6.7,1.1,0.3,60
29.3,5.6,7.3,1.6,0.4,268
29.5,7.1,8,1.2,0.4,374
28.4,5.9,6.8,1.5,0.4,70
26.9,7.4,6.9,1.1,0.3,70
25.8,7.2,7.2,0.7,0.2,441
26.6,6.5,7.4,0.6,0.3,4192
25.3,6.8,7.1,0.8,0,389
28.2,6.8,6.9,1.7,0.1,449
28.5,6.6,7,1.4,0.1,550
27.6,6.4,7.7,0.6,0.9,56
29,7.3,6.9,1.9,0.2,89
27.5,6.8,6.6,0.5,0.4,1719
30,5.6,7.2,2.1,0.3,92
27.8,6.9,6.8,0.6,0.5,1916
30.2,7.1,6.8,1.8,0.1,65
30.8,6.2,7.2,1.5,0.1,98
25.3,6.7,7.1,0.6,0,222
25.3,7.2,7,0.6,0,165
25.8,6,7.6,1.3,1.1,212
27.2,5.2,6.8,0.6,0.7,171
28.1,4.8,6.8,0.7,0.8,208
28.3,3.9,6.9,0.5,0.7,155
28.1,5,6.9,1.8,0.4,290
27.7,7,7,1.1,0.2,276
28,6.3,6.9,1.2,0.3,381
28.2,6.2,6.9,1.3,0.2,372
28,5.7,6.8,1.9,0.5,385
28.1,5.7,6.9,3.1,0.4,574
28.1,6.6,7.1,1.3,0.2,356
28.1,6.6,7,1.3,0.3,228
27.3,6.5,6.5,0.9,0.4,87
28.3,6.7,6.3,0.9,0.1,136
29.1,4.3,7.2,1.8,0.4,188
28.7,4.6,6.7,1.5,0.6,72
28.5,7.7,6.9,1.6,0,88
26.6,5.8,6.5,1,0.4,70
31,4.5,6.9,2.1,0.6,131
30.5,6.9,7.2,1.3,0.2,113
28.8,6.6,7,0.9,0.3,55
25.3,6.9,7.5,0.6,0,319
25.9,5.5,7.6,1.3,0.9,18
26.5,5.4,7.8,0.8,2.4,7
18.9,7.1,7.8,0.7,0.5,2
20.5,6.9,8,0.9,0.7,2
27.1,7.3,7.3,2.4,3.4,18
26.3,7.5,7.5,2.1,2,22
29.1,6.4,7.2,1,0,137
28.4,6.5,7.1,1,0,155
24.7,7.7,7.9,1.3,0.8,30790
24.4,7.5,7.8,2.1,0.7,38700
22.7,7.3,7.2,0.7,1.7,4871
24.8,7.4,7.9,0.7,0.6,5323
24,7.4,7.8,1.9,1,20880
22.8,7.5,8,1.7,0.9,8780
26.8,7.2,8,1.5,0.7,1468
27.4,6.6,7.8,1.5,0.9,1671
25.3,7.5,7.9,1,1,2906
27.1,7.4,7.9,0.8,0.9,4948
29,NAN,7.3,NAN,0.2,NAN
25,5.9,7.9,NAN,0.1,NAN
25,6.5,7.3,NAN,0.1,NAN
25,6.5,7.7,NAN,0.1,NAN
32,6,7.1,NAN,0.4,NAN
29.3,6.5,7.4,2,0.6,177
22.8,6.8,6.6,2.9,0.1,11
24.5,6.6,6.4,2.5,0.2,13
25.5,6.6,6.5,2.5,0.2,13
29,6.7,6.9,2.2,0.2,12
23.8,6.7,6.3,2.7,0.2,9
22.8,6.7,6.4,4.6,0.1,10
29,6.6,7.2,2.7,0.2,21
29,6.7,7,2.5,0.1,17
23,6.6,6.2,2.5,0.1,11
29,6.8,6.9,2.5,0.1,14
25.7,6.5,6.6,2.4,0.2,11
25.7,6.6,6.7,2.5,0.2,10
24.3,0.9,7.6,104.5,0.9,272521616
NAN,NAN,NAN,NAN,NAN,NAN
22.7,5.8,7.2,6,4.3,1450
19,4.8,7.6,22,3.6,30500
23,5.5,7.3,10,5,2020
24,5.1,7.4,23.7,5.9,27333
24.7,5.5,7.4,10,6.1,12167
25,5,7.6,16.3,6.1,11167
22,4.9,7.7,27.5,7.7,42500
24.3,5,7.3,19.3,6.2,21467
23.3,5.3,7.2,13.3,5.9,3167
19.5,4.9,7.7,21,4.2,28000
21.5,4.1,7.5,23,6.1,35000
20,4.8,7.4,17,4.7,20500
NAN,NAN,8.2,19.8,0,NAN
NAN,NAN,7.9,18.2,0,NAN
32.6,4,6.8,3,0.8,4
23.6,7.8,7.8,1.3,0.4,9
23.9,7.7,7.7,1.3,0.3,12
24.5,7.6,7.9,1.6,0.4,12
NAN,NAN,7.2,88,0,NAN
18.1,4.4,7.1,41,1.2,92
25.1,5.9,8,0.9,0.7,4
22.3,6,7.2,0.8,0.4,4
23.7,5.6,7.9,1.1,0.8,4
23.9,6.2,8.1,1,0.7,4
25.5,7.2,7.5,2.3,3.8,33
25.1,7.2,7.5,2.3,4.1,31
25.2,7.5,7.3,1.8,2.8,30
23.2,7.5,7.5,2.4,3,293
20.1,5.3,3.3,7.7,3.2,18
18.3,7.2,7.2,1.7,2.6,21
19.3,7.5,7.2,1.6,2.5,22
24,7.8,7,2.3,4.3,28
20.5,6.7,2.7,3.3,1.1,7
21.2,7.3,6.6,2.5,2.4,176
26.3,7.4,7.3,1.8,2.5,25
25.5,7.2,7.4,2,2.8,26
20,7.3,7.1,1.9,2.5,24
20.3,7.3,7.1,2,2.4,24
19.4,6.6,7.1,2.6,2.8,2142
21,7.3,5.6,1.8,2.1,16
19.2,5.1,7,3.6,4.7,351
18.3,7.3,7.1,1.6,2.4,19
19.6,7.7,7.2,1.6,2,19
23.7,7.6,7.3,2.1,3.7,301
18.2,6.2,7,2.4,5.1,36
18.8,7.2,7.1,1.9,3.4,28
18.9,7.4,7.1,1.5,2.9,13
25.1,7.5,7.4,1.7,3.5,26
18.8,7.1,7.1,1.9,5.6,22
20.2,7.3,7.2,1.9,3.3,24
20,7.3,7.3,2,3,25
18.5,1.5,6.9,33.9,16.9,23232
18.8,3.9,7.1,17,10.5,13174
18.3,1,7.2,57.2,20.3,48665
18.5,0.9,7.2,61.1,19.6,64250
18.2,7.2,7,1.9,3.7,28
22.1,7.7,7.2,1.6,3,27
17.6,7.3,6.9,2.2,2,25
18.7,1.2,7.1,45.7,15.6,51583
18.7,3.2,7.1,23.5,10.3,31833
23.1,7.2,7.2,6.9,4.5,348
22.6,7.2,7.1,2.1,2.4,56
20,7.5,7.3,1.9,3.3,21
19.9,7.6,7.3,1.9,3.8,21
24.5,7.1,7.3,1.4,0.1,NAN
24.4,7.2,7.3,1.5,0.1,4
23.6,6.9,7.1,1.6,0.1,NAN
23.5,6.8,7.1,1.4,0.2,NAN
27.3,6.2,7.8,2.1,0,282
29.1,6.4,7.8,4.1,0.5,458
26.6,6.6,7.9,4.2,1.9,510
NAN,NAN,0,NAN,NAN,NAN
27.1,7.3,7.9,0.5,1,161
27.3,5,7.6,1.8,8,329
NAN,NAN,0,NAN,6,26
24.5,6,7.7,8.6,1,47
NAN,NAN,NAN,NAN,7,22474
27.5,5.3,7.8,2.8,1,9
28.3,4.3,7.8,103.8,1.23,NAN
28.4,4.5,8.3,1.5,11,116
NAN,NAN,NAN,NAN,0,NAN
27.6,6.8,8.2,2.5,0.87,7
NAN,5,8,0.7,0,NAN
NAN,3,7.7,0.4,0,NAN
27,6.7,8.1,7.2,1,6
29,8.2,8.4,2.9,0,NAN
NAN,NAN,NAN,NAN,NAN,NAN
30,5.6,7.5,2,0.08,7022
30.4,5.5,6.7,0.8,0.17,1893
30.8,5.5,7.1,1.5,0.09,3293
30.3,5.3,7.3,1.5,0.08,1976
30.1,6,7.6,1.2,0.17,5129
29.9,5.7,6.9,1,0.14,939
29.1,6.4,7.1,1.1,0.1,4464
29.9,6.2,7.8,2,0.06,9429
29.8,6.1,7.6,1.8,0.06,6668
27.9,7,6.9,1.1,0.09,1641
28.2,6.6,6.5,1,0.14,4073
29.6,7,6.8,2,0.49,12140
28.8,7,7,1.2,0.66,1298
29.5,6.3,7.6,1.5,0.06,3803
29.8,6.7,6.8,1.2,0.17,2140
29.7,7.1,6.6,1,0.12,2367
28.7,6.7,6.6,1.3,0.22,2461
27.9,7.2,6.7,0.9,0.06,832
29.3,4.2,6.7,2,0.16,4448
28.6,6.3,6.6,1.6,0.19,2830
29.8,5.6,7.7,1.7,0.14,1831
28.6,2.8,6.4,3.2,0.35,12658
30.6,5.2,7.1,2.6,0.34,1411
30.3,5.6,7.7,1.5,0.07,4153
30.4,5.5,7.7,1.5,0.08,7086
29.6,6.9,6.7,0.9,0.21,691
29.6,6.3,7.6,1.7,0.08,3622
29.5,7.1,6.6,1.1,0.13,4124
26.7,6.9,7.7,3.3,1,77
29.3,7.2,8.2,3.3,1,39
28,6.9,7.7,3.7,0.57,48
28.2,6.9,7.6,3.5,0.75,37
26.5,6.4,7.4,4.3,2.89,524
20.7,6.3,8.3,2.7,1.58,64
27.2,6.7,7.8,3.6,1,43
27.5,6.3,7.6,4.4,1.86,48
26,5.9,7.6,5,1.79,166
26.5,7.3,7.7,3.2,1,50
27,3.6,7.4,30.5,1.5,534
27.3,6.3,8.3,3.3,1.78,4
28.7,7.2,7.7,3.3,1,39
28.4,7.1,7.5,3.4,4.4,17
28.7,7.1,7.4,38,1,388
28.7,7.2,7.6,3.2,1,22
28.7,7,7.6,3.3,1,20
28.7,7.2,7.6,3.4,1.89,29
28.7,7.1,7.8,3.2,0.63,43
29.3,6.8,7.7,3.6,4.57,3
28.3,6.8,7.4,3.7,2.26,4
28.7,6.8,7.6,3.3,4.22,4
29.2,6.7,7.8,4.4,4.78,4
28.7,6.8,7.7,3.9,4.25,3
27.2,6.8,8.1,3.8,1,32
27.2,6.8,8,3.5,1,53
27.2,7,8,3.6,1,44
28,6.9,7.9,3.5,0.75,41
26.2,7,7.6,3.5,0.6,33
26.2,7.2,7.5,3.3,0.9,38
28.2,7.2,7.7,3.3,1,35
24.5,6.9,7.5,2.8,1,3
24.5,6.7,7.7,3.3,3,4
24.5,7.3,7.7,2.9,2,3
24,6.4,7.3,1.7,0.62,199
24.9,6,7.1,1.7,0.53,262
24.3,6.3,7.1,1.3,0.57,248
24.8,6.5,7.3,1.6,0.55,226
26.4,6.7,6.6,1.2,0.34,228
27,7,6.6,1.5,0.37,208
26.6,6.7,7.3,0.8,0.35,547
28.6,6.9,7.7,0.7,0.46,255
28.8,6.7,7.9,0.9,0.56,191
28,5.6,6.9,1.2,0.67,266
27.4,7.3,7.4,0.8,0.31,2984
27.5,6.9,7.4,0.8,0.29,1807
26.8,7.1,7.4,0.6,0.5,1921
30,7.2,6.9,1.3,0.11,33
28.8,3.4,6.7,2.3,1.11,271
27.4,6.1,7.2,0.9,0.25,1667
24.8,6.4,7.2,1.9,0.77,258
23.6,6.2,7.2,2,1.01,184
29.8,6.6,6.9,1.6,0.29,264
30.2,6.8,7,1.7,0.2,249
28.2,2.9,6.7,2.2,1.28,403
27.7,3,6.6,2,0.39,357
23.9,6.7,7.1,1.6,0.34,313
27.4,3.6,7.3,2.6,0.59,64259
27.8,6.1,7.8,1.3,0.54,422
26.4,6.9,7.4,0.5,0.35,50
29.6,7,6.9,1.1,0.18,44
27,3.1,7.2,13.2,4.41,2992
26.3,7,7.1,0.5,0.32,211
30,6.1,7,1.8,0.58,89
28,6,6.4,2.1,0.28,87
30.1,6.3,7,2.8,0.37,142
27.9,6.9,8.1,0.9,0.72,382
27,5.9,6.7,1.5,0.52,144
26,7.8,6.8,1.4,0.3,122
27.7,7.1,7.4,1,0.14,1527
27.1,7.3,7.2,0.9,0.38,6490
26.5,6.2,7.2,0.8,0.23,331
28.5,7.2,6.8,1.2,0.45,706
28.7,6.9,6.7,2.5,0.4,526
25.7,6.3,7.4,0.6,0.88,98
29.3,7.6,6.8,1.6,0.31,48
27,7,7.2,0.6,0.46,2117
30.9,5.9,7,1.5,0.35,42
27.1,6.8,7.2,0.6,0.39,1200
30.3,6.3,6.7,1.3,0.17,55
30.4,6.4,6.9,1,0.27,40
26.2,6.6,7.3,0.6,0.39,228
26.2,6.9,7.2,0.5,0.18,151
25.1,6,7.3,1.7,0.56,256
27.4,6.1,7.2,0.7,1.04,181
28.1,4.5,6.9,0.7,1.17,218
28.3,4.2,7,0.6,1.04,240
28.2,6,7,2.2,0.68,473
27.2,7.3,7,1,0.27,234
27.4,6.3,7,1.6,0.32,487
28.2,6.4,7.2,1.4,0.23,362
27.9,5.9,7,2.2,0.62,330
27.3,4.6,7,1.7,0.28,631
28.2,6.5,6.9,2,1,340
28.2,6.5,7,1.4,1,249
26.7,6.4,6.4,1.2,1,142
28,6,6.1,1.2,0,136
29.7,5.3,6.8,2.8,0.79,106
28.2,3.6,6.5,1.8,0.95,105
28.9,6.9,6.7,1.8,0,93
26.4,6,6.6,1.5,3.69,168
30,4.9,6.8,1.6,1,208
30.8,6.3,7,1.4,1,34
27.8,6.6,6.8,1.1,0.06,149
26.7,7.1,7.5,0.8,1,239
27,6,7.3,1.2,3,3
26.8,6.1,7.7,1.2,1,3
19,5.8,7.8,0.6,0.85,2
21.4,6.1,8,0.9,1,2
27.1,7.3,7.3,2.3,1,115
26.3,7.6,7.4,2.4,1,223
28.3,6.5,7.1,1,0,156
27.9,6.5,7.1,1,0,30
23.4,7.5,7.8,1.4,0.89,8281
23.5,7.6,7.6,2.3,2.66,19264
22.4,7.3,7.5,1.2,1.58,15816
26.8,7.5,8,1.4,1.89,11771
26.5,7.3,7.9,2.9,2.23,9026
22,7.4,7.9,2.3,1.9,1850
27.6,6.9,8.1,2,2.26,19058
26.8,7,8,1.8,2.54,16613
25.6,7.2,7.8,1.3,1.59,29937
26.5,7.3,8,1.2,2.26,16103
24,NAN,7.8,1,1,NAN
28,8,7.7,NAN,1,NAN
28,8,8.2,4,1,NAN
28,7,8.2,5,1,NAN
27,7,6.4,4,1,NAN
27.8,6.7,7.5,1.7,0,194
23.4,7.2,6.5,3.1,0,19
25.4,6.7,6.3,3.3,1.5,21
26.3,6.3,6.5,4,4,38
29,6.6,6.9,5.4,1,17
24.6,7.1,6.3,3.5,1,24
23.5,6.9,6.3,3.5,0,17
29,7.3,7.1,3.6,0.88,33
27,6.1,7,5.2,0.56,26
24,6.9,6.4,3.2,1.59,20
28.7,6.8,6.8,9.4,0.55,22
26.3,6,6.6,3.9,2,22
25.7,6.5,6.7,3.3,3,32
26.8,3.4,7.8,164.9,1.5,148825783
NAN,NAN,NAN,NAN,NAN,NAN
23.3,5.5,7.2,9.7,4,1328
22.8,4.7,7.3,23.8,4,28250
23.3,5.3,7.2,11.3,4,1350
21.8,4.9,7.3,23.5,3,24750
24.3,5.3,7.4,13,4,13775
23.5,4.9,7.5,16.5,5,12375
24,4.4,7.4,24.8,6,25250
23.5,4.8,7.2,20.3,4,22875
23.3,5.1,7.3,14.8,5,2125
22.5,4.6,7.4,24.3,4,21500
26,4,7.4,26,3,31750
25.8,4.4,7.3,21.5,4,21000
NAN,NAN,6.9,13,0,NAN
NAN,NAN,6.5,15,0,NAN
NAN,5,7.3,33.9,0,NAN
NAN,NAN,6.7,18,0,NAN
30.7,4.8,7.6,0.8,0,4
20.3,7.1,7.5,1.3,0,9
20.7,7.1,7.5,1.4,0,13
20.8,6.6,7.5,1.6,0,14
20.6,4.9,7.4,16.3,0,51
28,4.9,8.3,1,0,4
23.4,5.5,7.4,0.8,0,4
25.3,5.5,8.1,1.1,0,4
31.1,5,7.3,1.7,0,4
26.3,5.6,8.1,1.1,0,4
22,7.3,7.3,2.1,0,4
24.4,7.2,7.3,2.2,1,26
23.7,7.2,7.4,2.2,1,25
24.6,7.6,7.2,1.8,2.56,24
23.1,7.1,7.5,2.2,3.2,239
21.7,5.2,2.9,7.8,1.5,16
18.2,7.3,7.1,1.3,2,15
18.8,7.6,7.2,1.2,2,16
23.8,8,6.9,1.8,3.38,23
17.8,7.9,7.3,1.4,1,12
18.7,7.4,7.2,1.9,3,14
18.8,7.7,7.2,1.6,3,15
21.3,6.8,2.7,3.2,2.33,4
22.6,7.1,6.5,3.8,4.56,674
25.2,7.8,7.2,1.6,1.77,20
24.8,7.3,7.3,2,2.66,21
19.9,7.3,7,1.8,3.3,20
20.7,7.4,7.1,1.7,2.44,19
20.6,6.5,7.1,2.7,3.56,1967
21.5,7.5,5.7,1.5,2.21,10
17.7,5.8,6.9,3.1,4.9,197
17.9,6.9,7.2,1.4,2.66,14
23.9,7.8,7.3,1.9,2.99,264
18,6.6,7,2.3,4,29
18.4,7.6,7.1,1.7,3,23
18.8,7.8,7,1.4,2,8
24.8,7.7,7.4,1.6,3.32,25
19.3,7.1,7,1.8,2.58,20
20.6,7.4,7,1.6,3.3,17
20.7,7.5,7.2,1.6,2.25,21
18.4,3.1,7.2,21.8,19,22556
19.1,4.7,7.2,13.6,15,13444
19.7,2.1,7.2,37.2,18.2,39444
20.1,1.8,7.2,40.6,15.4,57222
17.6,7.2,6.9,1.7,3.04,26
22.7,7.9,7.1,1.2,3.55,23
17.9,6.9,6.9,2.2,3.48,1576
18.9,1.9,7,34.2,17.9,48278
19.4,4.5,7.1,15.5,11,48611
23.7,7.2,7.1,6.7,5.56,303
22.7,7.5,7,2.1,3.02,45
23.6,7.1,7.5,1.9,1,NAN
23.8,7,7.6,1.8,1,NAN
23.5,7.2,7.9,1.9,0.95,NAN
23.5,6.5,7.8,1.8,0.99,NAN
27.4,6.6,7.7,1.7,0,280
21.9,6.7,7.8,4.8,1,440
27.5,6.6,7.7,3.7,1.55,415
31,7.1,7.8,8,0.08, 
28,7.2,7.4,0.7,0.18,5
27,6.2,8.4,9,0.38,140
30,2.2,8,17.9,0.86,10478
31,2,7.7,32.3,3.44,11498
29,2.4,7.6,6.2,1.31,3
31,5.9,7.2,2.1,0.08, 
30,6.1,6.8,1.3,0.17,1300
30,5.5,6.9,1.3,0.09,4100
29,5.4,7.2,1.5,0.08,428
29,5.8,7.2,5.3,0.17,855
29,5.9,6.7,1.5,0.14,1638
28,6.4,6.7,1.3,0.1,772
30,6.2,7.7,1.3,0.06,1296
30,6.1,7.8,1.5,0.06,1032
27,7.3,6.9,0.7,0.09,1430
28,6.8,6.6,1.5,0.14,2495
29,7.4,6.5,2.3,0.49,5868
28,7,6.8,1.6,0.66,965
29,6.3,7.5,1.6,0.06,1466
29,7.1,6.8,0.8,0.17,716
30,7.3,6.8,1.2,0.12,457
28,6.7,6.6,1,0.22,1104
28,7.4,6.8,1.3,0.06,274
29,4.5,6.6,2.4,0.16,1572
28,6.1,6.9,1.8,0.19,1074
30,5.9,7.3,1.6,0.14,962
30,2.4,6.5,4.8,0.35,7980
31,4,6.8,1.8,0.34,818
29,5.4,7.6,1.6,0.07,290
30,5.3,7.6,1.4,0.08,952
29,7,6.9,0.8,0.21,667
29,5.9,7.7,2.1,0.08,1200
29,7.1,6.5,1.7,0.13,2926
29,6.9,7.7,3.3,0.56,53
30,6.6,7.9,3.2,0.52,44
27,6.6,7.7,3.6,0.65,25
27,6.8,7.7,3.4,0.63,23
27,4.8,7.2,8.4,2.08,177
23,6.4,8,4.2,3.91,17
29,6.8,7.6,3,0.54,124
29,6.7,7.5,4.6,0.6,47
28,5.8,7.9,9.5,1.42,231
29,6.9,7.7,3.1,0.42,69
25,4.9,7.6,55.5,2.18,560
28,6.9,7.9,2.7,1.58,4
29,6.8,7.5,3,0.6,124
29,6.7,7.3,2.9,0.59,100
29,5.6,6.9,4.5,1.72,58
29,6.5,7.3,3,0.59,132
30,7.1,7.5,3,0.6,136
30,6.4,7.3,3.1,0.6,68
29,6.9,7.7,2.9,0.55,135
25,7,7.9,2.9,0.55,30
30,6.4,7.6,3.7,2.14,5
30,6.9,7.7,2.8,3.6,4
31,6.3,7.7,3.5,1.1,4
30,6.5,7.5,3.4,1.72,4
30,6.3,7.4,4.7,2,4
28,6.5,8.1,4,0.55,46
28,7,8,3.5,0.64,190
28,7,8,2.9,0.56,31
27,6.8,7.8,3.3,0.56,33
27,6.4,7.6,3.2,0.96,62
26,6.7,7.7,3,0.89,30
27,6.7,7.6,2.9,0.76,24
28,6.6,7.8,3.5,0.57,30
23,7,7.7,2.4,0.93,4
22,6.8,7.6,2.9,0.81,4
23,6.9,7.5,2.3,3.93,4
26,7,7.2,0.8,0.62,279
26,6.6,7,1.1,0.53,275
26,6.6,7.3,0.7,0.57,281
26,6.2,7.3,0.8,0.55,303
26,7.1,7,1,0.34,170
26,7,6.7,1.1,0.37,158
29,6.7,7.3,1.1,0.35,1163
28,6.2,7.3,1,0.46,296
28,7.1,8.1,0.9,0.56,524
29,6.3,6.3,1.2,0.67,224
26,7.3,7.2,0.6,0.31,468
26,7,7.3,0.9,0.29,256
28,6.8,7.1,0.8,0.5,693
29,7.4,7.2,0.7,0.11,54
28,1.7,6.6,3.4,1.11,556
26,6.1,7.5,1.4,0.25,920
26,6.6,7.2,0.8,0.77,332
25,6.6,7.2,0.8,1.01,392
29,6,6.7,1.2,0.29,253
29,6.6,6.8,1,0.2,275
28,0.6,6.7,4.1,1.28,400
27,1.8,6.6,2,0.39,399
25,7.1,7.2,1,0.34,251
26,3.9,7.6,2.5,0.59,4830
27,6.6,8,1.1,0.54,517
27,7,7.1,0.8,0.35,45
29,7.3,7,0.7,0.18,65
29,0.5,7.1,21.2,4.41,3317
29,7,7.4,0.9,0.32,800
29,6.1,6.8,1.1,0.58,80
27,7,6.7,1.3,0.28,168
30,5.2,6.9,1.5,0.37,71
27,6.1,8,1.1,0.72,784
27,6.5,6.9,1.8,0.52,711
25,7.9,7.2,1.1,0.3,319
25,7.5,6.9,0.9,0.14,110
26,7,7.4,1,0.38,496
29,7.3,7.3,0.9,0.23,1088
27,7.5,6.9,1.6,0.45,970
27,6.8,6.9,1.7,0.4,825
27,5.8,7.3,0.9,0.88,232
28,7.1,7.2,0.8,0.31,67
26,6.8,7.1,0.7,0.46,2010
29,5.7,7.3,1.5,0.35,46
27,6.7,7.1,1.2,0.39,964
28,7,6.9,0.9,0.17,56
29,6.5,7,1.3,0.27,63
28,6.6,7.3,1.4,0.39,838
29,7,7.3,0.8,0.18,631
26,6.3,7.2,0.8,0.56,357
28,6,7,1.1,1.04,243
28,4.4,7.1,1.5,1.17,358
28,4.5,7.2,1,1.04,279
28,5.1,6.9,2.1,0.68,408
27,7.5,7.2,1.1,0.27,282
28,6.8,7,1.3,0.32,648
28,6.8,6.9,1.4,0.23,388
28,5.9,6.8,2.2,0.62,386
28,4.9,6.7,2.2,0.28,480
28,6.8,6.9,1.4,0.25,236
28,7.1,6.9,1.2,0.29,451
26,6.9,6.6,1.1,0.3,177
28,6.5,6.3,1,0.22,87
29,4.9,6.6,2.1,0.76,250
28,4.2,6.5,1.4,0.39,210
28,6.9,7.1,0.9,0.16,152
26,6.6,6.7,0.8,0.38,185
29,4.5,6.6,2.1,0.34,196
29,6.2,7.2,1.3,0.22,61
27,6.6,7.1,1.1,0.26,126
29,6.3,7.3,1.2,0.29,725
27,6,7.6,1.1,1.1,3
27,6,7.8,1.1,1.47,3
20,5.8,7.4,0.6,0.73,4
24,6.1,7.5,0.5,0.34,4
28,6.4,7.1,2.3,0.62,209
27,7.1,7.4,1.9,0.72,419
32,6.7,7.2,1, ,11
30,6.8,7.1,1, ,13
22,7.8,7.9,1.5,0.35,7742
22,7.7,8.1,2,0.75,12675
24,6.9,7.6,1.6,1.39,3066
27,7.3,8,1.6,0.69,2346
26,6.8,8.1,2.6,1.16,2428
25,7.2,8.1,3.1,1.46,2196
28,8,8.3,1.4,0.73,1618
29,8.2,8,2,0.94,624
26,7,8,1.8,1.11,1503
28,7.2,8.1,1.6,0.36,1239
31,6.8,7.8,2.1,0.02, 
25,6.5,7.9,3,0.3, 
25,6.9,7.4,3,0.37, 
25,6.8,8.1, ,0.28, 
26,6,7.3, ,0.23, 
27,6.8,7.5,2.1,0.51,274
23,7.3,7.6,1.9,0.06,32
25,7,7.7,2.2,0.08,53
26,6.7,7.7,3.1,0.22,123
